127.0.0.1 - - [31/Mar/2022:10:52:33 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:52:53 +0530] "GET /StudentApp/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:52:54 +0530] "GET /StudentApp/resources/css/mystyle.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:52:54 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:52:57 +0530] "GET /StudentApp/index.html HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:52:58 +0530] "GET /StudentApp/loginStudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:53:01 +0530] "GET /StudentApp/registerStudent.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:53:29 +0530] "POST /StudentApp/login HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:53:29 +0530] "GET /StudentApp/resources/css/mystyle2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:54:05 +0530] "POST /StudentApp/login HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:54:14 +0530] "GET /StudentApp/searchStudentForm.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:54:17 +0530] "GET /StudentApp/search?id=10 HTTP/1.1" 200 846
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:54:22 +0530] "GET /StudentApp/allStudents HTTP/1.1" 200 1356
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:54:27 +0530] "GET /StudentApp/getStudents.html HTTP/1.1" 200 1163
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:54:30 +0530] "GET /StudentApp/getStudentsBasedOnRank?rank=FCD HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:54:36 +0530] "GET /StudentApp/getStudentsBasedOnRank?rank=FAIL HTTP/1.1" 200 876
0:0:0:0:0:0:0:1 - - [31/Mar/2022:10:54:46 +0530] "GET /StudentApp/logout HTTP/1.1" 200 1153
